Canada,
Lat,Lon
63.962073,-93.445209
63.971382,-93.418336
63.971654,-93.39
63.967491,-93.364718
63.928045,-93.273055
63.892491,-93.122218
63.855827,-92.960282
63.835263,-92.841673
63.7875,-92.651946
63.813327,-92.542636
63.815545,-92.501391
63.810127,-92.477218
63.786518,-92.432355
63.745754,-92.416873
63.735545,-92.389164
63.733882,-92.348891
63.7386,-92.306382
63.740963,-92.257091
63.716936,-92.148055
63.697982,-92.103746
63.638045,-92.204182
63.622909,-92.257509
63.592491,-92.385009
63.567218,-92.489718
63.540836,-92.493055
63.527218,-92.480836
63.546945,-92.429173
63.556936,-92.3364
63.5561,-92.28
63.609718,-92.2025
63.624436,-92.165282
63.679991,-91.971118
63.713463,-91.8225
63.714573,-91.769718
63.690545,-91.695264
63.678045,-91.670836
63.640409,-91.613609
63.608745,-91.617636
63.582773,-91.604164
63.524991,-91.398055
63.502491,-91.274173
63.478045,-91.133055
63.440273,-90.945546
63.4086,-90.854718
63.410545,-90.915555
63.420545,-90.939155
63.420127,-90.968273
63.397218,-90.949864
63.387773,-90.925136
63.369154,-90.816664
63.360827,-90.741946
63.228327,-90.690827
63.059436,-90.627491
63.036382,-90.649173
62.962209,-90.739991
62.9395,-90.782909
62.933054,-90.825836
62.932773,-90.847782
62.934436,-90.870273
62.944854,-90.935
62.946382,-91.017227
62.943182,-91.043191
62.907209,-91.177773
62.889091,-91.196936
62.856945,-91.210282
62.788054,-91.361518
62.782773,-91.440282
62.782491,-91.461673
62.8,-91.579182
62.826382,-91.840291
62.846936,-91.990282
62.818882,-92.087509
62.827627,-92.222155
62.843609,-92.34
62.844154,-92.361936
62.840691,-92.387636
62.834436,-92.411527
62.819163,-92.4468
62.799373,-92.456318
62.709991,-92.333618
62.673045,-92.232773
62.657773,-92.183464
62.651654,-92.067782
62.650273,-92.034727
62.653318,-91.971391
62.651927,-91.948882
62.640409,-91.917218
62.624163,-91.882764
62.602909,-91.8848
62.533191,-91.944709
62.526654,-92.053327
62.599436,-92.1582
62.603191,-92.191382
62.593318,-92.270564
62.569163,-92.273482
62.540836,-92.325564
62.533336,-92.365009
62.530409,-92.390427
62.535827,-92.430827
62.544445,-92.468064
62.532491,-92.539173
62.465827,-92.611936
62.465827,-92.710009
62.436236,-92.729436
62.351245,-92.719718
62.332773,-92.665836
62.322218,-92.628055
62.314709,-92.606655
62.300682,-92.588336
62.263463,-92.605973
62.236327,-92.604
62.192836,-92.569173
62.175554,-92.536664
62.154709,-92.482318
62.155682,-92.598055
62.191654,-92.625827
62.213554,-92.639264
62.265545,-92.700564
62.288463,-92.7443
62.309436,-92.845555
62.332218,-93.075564
62.334991,-93.122218
62.260963,-92.8982
62.263054,-92.866391
62.258745,-92.834309
62.236936,-92.780291
62.221936,-92.765009
62.175163,-92.794346
62.176036,-92.848755
62.192763,-92.954455
62.173463,-93.072373
62.155409,-93.112218
62.133118,-93.122564
62.104573,-93.072918
62.1245,-93.0234
62.111036,-92.936764
62.077218,-92.968336
62.067773,-92.991109
62.009718,-93.140836
62.030136,-93.2418
62.042773,-93.2775
62.049436,-93.302782
62.051382,-93.325291
62.028463,-93.412227
62.011173,-93.386873
62.005554,-93.352082
61.998045,-93.318891
61.969436,-93.244446
61.955827,-93.223336
61.891382,-93.281955
61.884718,-93.304446
61.886382,-93.330564
61.915263,-93.442491
61.922491,-93.461673
61.939991,-93.616109
61.879154,-93.600282
61.861936,-93.617218
61.847773,-93.556946
61.808882,-93.435818
61.788891,-93.282773
61.778536,-93.244373
61.742491,-93.255573
61.707218,-93.356946
61.682209,-93.449436
61.663318,-93.542773
61.648045,-93.594164
61.629154,-93.655
61.549163,-93.856655
61.455127,-93.985
61.396663,-93.968609
61.386245,-93.927218
61.388045,-93.899446
61.387354,-93.862782
61.352563,-93.819309
61.316936,-93.845346
61.295827,-93.936391
61.178327,-94.057218
61.043609,-94.148055
60.942763,-94.226946
60.856109,-94.351246
60.798882,-94.391109
60.759436,-94.415146
60.671109,-94.451673
60.547082,-94.507227
60.521245,-94.569446
60.527773,-94.611391
60.522491,-94.673327
60.4661,-94.671664
60.415963,-94.627918
60.377418,-94.616109
60.224163,-94.681946
60.1911,-94.673618
60.084536,-94.710109
60.0693,-94.749727
60.058463,-94.768764
60.005973,-94.803882
59.999563,-94.800427
59.955618,-94.820973
59.877773,-94.803327
59.711109,-94.803327
59.636382,-94.819173
59.515273,-94.788609
59.426382,-94.735273
59.357218,-94.680555
59.323327,-94.715291
59.295827,-94.772509
59.260973,-94.781809
59.092218,-94.789718
58.9736,-94.680827
58.934436,-94.676391
58.876663,-94.592091
58.808809,-94.480418
58.768327,-94.455282
58.735409,-94.446309
58.715273,-94.416109
58.712773,-94.361391
58.7186,-94.335282
58.743609,-94.291109
58.7711,-94.279173
58.785,-94.228882
58.714718,-94.234727
58.649991,-94.252227
