China,
Lat,Lon
48.350273,134.482727
48.291664,134.643863
48.271282,134.717472
48.267127,134.740754
48.260409,134.716418
48.214727,134.680754
48.182836,134.686154
48.155264,134.681363
48.100618,134.661027
48.088045,134.636763
48.076245,134.601627
48.060409,134.581772
48.032082,134.566227
47.992073,134.5576
47.911091,134.593654
47.8009,134.684354
47.7765,134.714954
47.737282,134.768463
47.700273,134.760818
47.469145,134.554782
47.429573,134.485791
47.427491,134.459136
47.431309,134.417327
47.430827,134.387482
47.426245,134.342745
47.421109,134.3147
47.413609,134.295809
47.323327,134.182463
47.2486,134.149291
47.181109,134.190518
47.129982,134.222836
47.099673,134.215191
47.083918,134.187163
47.076691,134.137127
47.055827,134.113591
46.954164,134.0658
46.860491,134.039363
46.766827,134.043291
46.666664,134.019436
46.644154,134.005245
46.640164,133.997745
46.633609,133.997463
46.611318,133.970927
46.578118,133.908918
46.478882,133.847182
46.443227,133.850527
46.421218,133.9028
46.381882,133.929718
46.253627,133.901609
46.194991,133.830245
46.155818,133.744691
46.069027,133.723827
45.935164,133.660236
45.871291,133.5795
45.884645,133.5506
45.883418,133.521091
45.823464,133.476054
45.797736,133.474945
45.678254,133.487536
45.624573,133.470245
45.589718,133.417209
45.569991,133.382172
45.516109,133.244109
45.511109,133.216627
45.503818,133.192245
45.450827,133.149136
45.414573,133.130236
45.294445,133.1019
45.228882,133.0992
45.197209,133.113863
45.164718,133.126209
45.124573,133.117463
45.088882,133.074672
45.056936,133.025272
45.024582,132.952609
45.021409,132.931454
45.038182,132.871291
45.064991,132.799409
45.116391,132.568027
45.1611,132.364136
45.175273,132.299136
45.213609,132.122745
45.241436,131.992427
45.255964,131.961363
45.286109,131.923718
45.308609,131.910382
45.337564,131.8958
45.345818,131.868436
45.3343,131.836154
45.2161,131.703309
45.133736,131.652754
45.108054,131.646382
45.091518,131.628018
44.973873,131.469118
44.970954,131.341082
44.955127,131.314409
44.9318,131.286163
44.910545,131.212463
44.911864,131.177127
44.928054,131.149272
44.927354,131.124545
44.9186,131.092191
44.909718,131.067745
44.836491,130.952991
44.781936,131.000672
44.773045,131.019836
44.753464,131.055591
44.691373,131.095518
44.585818,131.128572
44.184718,131.255554
