Mexico,
Lat,Lon
25.966427,-97.140736
25.959327,-97.138618
25.933191,-97.137509
25.772218,-97.160282
25.674718,-97.188609
25.510827,-97.254455
25.474164,-97.271118
25.437636,-97.288064
25.3975,-97.312091
25.365,-97.336118
25.289445,-97.388064
25.201664,-97.442782
25.170554,-97.458073
25.133891,-97.474727
25.044236,-97.513064
24.784718,-97.584164
24.685554,-97.609727
24.520273,-97.651673
24.395827,-97.676118
24.370282,-97.680282
24.3225,-97.688064
24.255836,-97.697236
24.075,-97.715564
23.955273,-97.7225
23.899164,-97.724727
23.820827,-97.724455
23.588891,-97.740009
23.472773,-97.754182
23.4075,-97.760836
23.381664,-97.763064
23.338054,-97.765018
23.300827,-97.7664
23.270827,-97.765564
23.194718,-97.761946
23.125827,-97.756391
23.088336,-97.749455
23.059582,-97.742646
23.0275,-97.740846
23.003609,-97.740282
22.905827,-97.741391
22.858054,-97.752018
22.815809,-97.787436
22.773609,-97.805846
22.738054,-97.835009
22.655554,-97.877227
22.632218,-97.884736
22.598818,-97.888264
22.582564,-97.870282
22.325827,-97.803473
22.3018,-97.794446
22.268054,-97.776873
22.198473,-97.781682
22.157773,-97.779173
22.116945,-97.768618
22.054718,-97.740009
21.974718,-97.697918
21.883609,-97.6414
21.863054,-97.6275
21.843054,-97.6125
21.793891,-97.572509
21.775,-97.556118
21.755,-97.535846
21.739164,-97.519182
21.643609,-97.403627
21.597773,-97.338618
21.582773,-97.325291
21.556527,-97.315009
21.530282,-97.313609
21.503609,-97.318073
21.467782,-97.328609
21.429718,-97.3439
21.271736,-97.413473
21.391391,-97.462782
21.4425,-97.470218
21.467782,-97.4189
21.470691,-97.388618
21.4993,-97.368273
21.543536,-97.372918
21.567218,-97.398055
21.586664,-97.431118
21.613054,-97.462782
21.638609,-97.488064
21.675282,-97.522782
21.792354,-97.6223
21.915864,-97.682491
21.955482,-97.696746
22.0125,-97.742236
21.989718,-97.731673
21.959445,-97.722782
21.928891,-97.714173
21.8925,-97.705836
21.87,-97.703336
21.773609,-97.688609
21.673954,-97.6707
21.629718,-97.651673
21.565827,-97.620564
21.493609,-97.572791
21.478336,-97.555555
21.426391,-97.501109
21.319445,-97.454727
21.14,-97.376682
21.094164,-97.355836
21.0575,-97.338346
20.9625,-97.292782
20.893891,-97.249173
20.8375,-97.2132
20.812773,-97.200564
20.794445,-97.192509
20.750418,-97.181882
20.732082,-97.192155
20.683954,-97.175355
20.641109,-97.143891
20.568882,-97.085555
20.540273,-97.058336
20.262773,-96.787227
20.225554,-96.744446
20.155273,-96.674864
20.025273,-96.578336
19.899164,-96.480836
19.8775,-96.460009
19.855,-96.444455
19.762218,-96.4075
19.724864,-96.396255
19.693191,-96.394173
19.631664,-96.387791
19.549445,-96.367509
19.341109,-96.295291
19.314718,-96.276946
19.288609,-96.245009
19.276391,-96.228055
19.265273,-96.209164
19.251945,-96.185009
19.229445,-96.139727
19.124718,-96.094591
19.096109,-96.079182
19.062773,-96.041118
19.057782,-96.013064
18.988609,-95.958618
18.926391,-95.9364
18.879718,-95.908336
18.845836,-95.899173
18.825273,-95.911391
18.745,-95.801118
18.711936,-95.533336
18.702909,-95.400427
18.706664,-95.346682
18.710554,-95.315009
18.711245,-95.215982
18.7018,-95.182227
18.605136,-95.045427
18.5651,-95.025873
18.535409,-94.935009
18.533054,-94.886673
18.5318,-94.854582
18.524445,-94.808064
18.507709,-94.782373
18.436182,-94.7548
18.391945,-94.734173
18.180909,-94.570091
18.160136,-94.536527
18.152773,-94.512218
18.146245,-94.469182
18.148891,-94.418064
18.173745,-94.267782
18.198609,-94.168064
18.208873,-94.1376
18.245282,-94.015291
18.252636,-93.874309
18.262564,-93.792991
18.355973,-93.576809
18.409164,-93.571809
18.408336,-93.592927
18.403327,-93.613064
18.3266,-93.778791
18.307782,-93.808064
18.306454,-93.845836
18.3225,-93.826127
18.348327,-93.780564
18.421391,-93.587091
18.440554,-93.450009
18.441664,-93.429736
18.438891,-93.181673
18.407364,-93.172236
18.370418,-93.171255
18.339582,-93.129864
18.379236,-93.089591
18.403609,-93.087782
18.439164,-92.955
18.4475,-92.9207
18.461109,-92.884736
18.496664,-92.822782
18.5075,-92.805282
18.56,-92.741391
18.517773,-92.680009
18.623609,-92.588618
18.656982,-92.480455
18.664445,-92.460009
18.681109,-92.405291
18.685136,-92.312918
18.695273,-92.153064
18.726245,-92.004173
18.7275,-91.978482
18.7175,-91.956255
18.615691,-91.858618
18.591245,-91.903882
18.5955,-91.941418
18.592636,-92.035846
18.56,-92.041955
18.533818,-91.993555
18.549164,-91.957646
18.5868,-91.965073
18.551245,-91.897646
18.492773,-91.825291
18.472918,-91.832791
18.445064,-91.8507
18.424436,-91.855627
18.382636,-91.813127
18.38,-91.803346
18.445554,-91.773618
18.449445,-91.679736
18.443882,-91.636946
18.435554,-91.495709
18.448264,-91.475009
18.489373,-91.488682
18.541109,-91.4375
18.592218,-91.311673
18.650073,-91.186191
18.740836,-91.263627
18.767773,-91.2896
18.783473,-91.316118
18.766182,-91.341291
18.771391,-91.372091
18.823509,-91.387264
18.8583,-91.359173
18.893891,-91.33
18.854236,-91.398155
18.851773,-91.428609
18.907354,-91.385073
18.920273,-91.362955
18.955827,-91.304736
18.975,-91.260009
19.029445,-91.134736
19.107218,-91.021664
19.1825,-90.913073
19.320273,-90.753891
19.361527,-90.731673
19.479164,-90.713482
19.640827,-90.7007
19.670409,-90.712227
19.768327,-90.676673
19.802636,-90.646955
19.838054,-90.600573
19.851945,-90.579182
19.8625,-90.5614
19.877427,-90.528264
19.902636,-90.502236
19.975973,-90.455273
20.016109,-90.465836
20.043054,-90.480564
20.081045,-90.499791
20.194445,-90.496946
20.308054,-90.488064
20.549445,-90.484727
20.732291,-90.455909
20.751391,-90.439455
20.789164,-90.405564
20.815209,-90.385555
20.845909,-90.373364
20.895827,-90.353055
20.941664,-90.3389
20.967909,-90.340146
20.951664,-90.351964
20.863227,-90.378964
20.840418,-90.385418
20.787673,-90.430946
20.838054,-90.418336
20.863227,-90.405718
20.925827,-90.385836
20.950836,-90.375564
21.005273,-90.351255
21.0275,-90.332646
21.063054,-90.279727
21.086664,-90.239455
21.160273,-90.1064
21.235,-89.919727
21.255,-89.868055
21.270273,-89.828064
21.276664,-89.805555
21.2825,-89.776118
21.296391,-89.704455
21.3175,-89.501109
21.332773,-89.338055
21.334164,-89.318073
21.342782,-89.241118
21.362354,-89.102509
21.413609,-88.843336
21.448054,-88.708473
21.462773,-88.686673
21.498609,-88.640973
21.521391,-88.620846
21.535973,-88.594655
21.568882,-88.4514
21.571391,-88.425564
21.568264,-88.351746
21.555345,-88.309246
21.553891,-88.267918
21.5866,-88.090218
21.596736,-88.143618
21.576764,-88.206036
21.568954,-88.241464
21.580827,-88.224727
21.597218,-88.183336
21.608054,-88.147791
21.61,-88.119446
21.602773,-87.994173
21.596382,-87.965009
21.5276,-87.714655
21.532773,-87.802509
21.542636,-87.851327
21.517218,-87.806946
21.5043,-87.748209
21.502773,-87.676391
21.505836,-87.652509
21.512218,-87.605282
21.495454,-87.539182
21.476391,-87.476391
21.448054,-87.329455
21.441391,-87.249173
21.452218,-87.201255
21.483891,-87.146046
21.5125,-87.133618
21.557218,-87.133827
21.5675,-87.161127
21.556591,-87.199391
21.5425,-87.221955
21.529854,-87.248336
21.509236,-87.4057
21.528609,-87.410773
21.560836,-87.370009
21.568327,-87.328755
21.562918,-87.304173
21.561382,-87.272227
21.567918,-87.239873
21.604445,-87.148473
21.606109,-87.078609
21.599536,-87.054836
21.598054,-87.049455
21.590273,-87.027791
21.579718,-87.005427
21.441945,-86.894173
21.443882,-86.871127
21.429236,-86.829727
21.408609,-86.815564
21.368473,-86.810009
21.343327,-86.811955
21.293745,-86.826191
21.180209,-86.811191
21.152636,-86.775282
20.987782,-86.8264
20.928336,-86.852782
20.801936,-86.913073
20.613054,-87.069455
20.5668,-87.137091
20.561945,-87.156809
20.524436,-87.204455
20.503891,-87.226391
20.44,-87.2764
20.399436,-87.306673
20.222773,-87.425564
20.200554,-87.437227
20.1643,-87.454173
20.085973,-87.472227
19.983191,-87.469173
19.952364,-87.459173
19.933118,-87.446736
19.900191,-87.444809
19.849027,-87.469055
19.880982,-87.463855
19.897982,-87.449718
19.926445,-87.449482
19.950727,-87.481809
19.913609,-87.472782
19.870554,-87.475855
19.827073,-87.510582
19.811036,-87.540455
19.799582,-87.580982
19.678891,-87.660564
19.677573,-87.7366
19.636945,-87.740009
19.599864,-87.733409
19.564445,-87.691391
19.547773,-87.6664
19.505554,-87.657718
19.524445,-87.632646
19.549718,-87.612509
19.584718,-87.526673
19.604373,-87.4241
19.581664,-87.412227
19.505836,-87.427655
19.471664,-87.443336
19.442218,-87.471264
19.402909,-87.527227
19.394445,-87.563064
19.403609,-87.543409
19.432154,-87.541118
19.396873,-87.628764
19.376664,-87.645573
19.351109,-87.662509
19.315,-87.676946
19.250136,-87.687782
19.227918,-87.672373
19.214791,-87.635082
19.258191,-87.592091
19.281245,-87.586818
19.300973,-87.575291
19.318891,-87.547373
19.325064,-87.500273
19.291382,-87.488618
19.139445,-87.548336
19.050345,-87.596046
18.961391,-87.6157
18.925827,-87.619446
18.875827,-87.623609
18.759854,-87.654318
18.742773,-87.665555
18.697773,-87.710555
18.6643,-87.7298
18.606109,-87.739455
18.52,-87.748336
18.444164,-87.755009
18.408609,-87.762364
18.3725,-87.790846
18.334864,-87.816682
18.310836,-87.828064
18.2675,-87.839864
18.190827,-87.8475
18.293327,-87.871673
18.330273,-87.876818
18.364164,-87.893064
18.420273,-87.925564
18.448054,-87.973618
18.471391,-88.0339
18.493609,-88.073336
18.525273,-88.079591
18.541664,-88.066955
18.6759,-88.002709
18.784445,-88.002509
18.868191,-88.039727
18.854164,-88.061118
18.815,-88.089173
18.737782,-88.161118
18.7,-88.217791
18.677218,-88.169446
18.513054,-88.267227
18.492218,-88.284173
18.482927,-88.2995
18.481391,-88.3439
18.482082,-88.3714
18.4899,-88.405446
18.483709,-88.473791
18.4475,-88.506391
18.430273,-88.516955
18.290736,-88.589073
18.235836,-88.600018
18.185554,-88.681118
18.11,-88.704455
18.054718,-88.728055
17.988836,-88.774082
17.903891,-88.8414
17.907254,-88.872036
17.965818,-88.983418
17.9874,-88.997
18.004509,-89.022573
17.994973,-89.072055
17.970936,-89.121618
17.951073,-89.143009
17.818882,-89.141955
17.819718,-89.430436
17.820827,-89.742236
17.820973,-90
17.821109,-90.238346
17.821109,-90.590836
17.820273,-90.777791
17.82,-90.921673
17.82,-90.979173
17.820654,-90.982418
17.817773,-90.983064
17.585,-90.983609
17.256109,-90.9839
17.2575,-91.436955
17.237218,-91.434
17.188054,-91.332227
17.134027,-91.268482
17.035554,-91.184446
16.924445,-91.063609
16.896109,-90.986682
16.889164,-90.9489
16.829854,-90.9191
16.817773,-90.866673
16.805418,-90.804736
16.756945,-90.748609
16.726464,-90.714282
16.675827,-90.678891
16.644164,-90.658064
16.595273,-90.644182
16.563609,-90.643482
16.520691,-90.645291
16.489164,-90.609173
16.476391,-90.590709
16.473327,-90.545291
16.468609,-90.505009
16.461109,-90.486118
16.416382,-90.4064
16.401109,-90.393336
16.376945,-90.384446
16.335,-90.406536
16.3075,-90.438609
16.256664,-90.458073
16.194436,-90.457327
16.172364,-90.430073
16.132773,-90.432091
16.088336,-90.441955
16.078845,-90.447618
16.074882,-90.453773
16.075554,-90.625836
16.075836,-90.804455
16.075745,-90.991546
16.075836,-91.540009
16.075554,-91.704182
16.075,-91.729173
15.961109,-91.7975
15.908891,-91.828609
15.4376,-92.107936
15.262218,-92.2114
15.077291,-92.070691
15.0258,-92.093927
14.934718,-92.149736
14.845273,-92.183827
14.810554,-92.182918
14.768609,-92.169173
14.729445,-92.158336
14.703336,-92.152646
14.683054,-92.153346
14.588336,-92.187227
14.558054,-92.216673
14.551991,-92.237946
14.550545,-92.246782
14.554973,-92.255709
14.5875,-92.289173
14.684164,-92.384446
14.828609,-92.527236
14.855836,-92.555555
14.88,-92.583891
14.894164,-92.601118
14.926109,-92.632509
14.9925,-92.696118
15.053336,-92.753064
15.142191,-92.810136
15.146245,-92.773964
15.092009,-92.746991
15.131109,-92.754182
15.1716,-92.770491
15.205727,-92.861182
15.212218,-92.889446
15.2625,-92.979736
15.353745,-93.087782
15.3775,-93.109173
15.4275,-93.150009
15.491245,-93.206809
15.540273,-93.283064
15.641664,-93.412227
15.695418,-93.474455
15.773054,-93.568346
15.830554,-93.649173
15.865273,-93.698627
15.922782,-93.788891
16,-93.876109
16.093891,-93.938609
16.109164,-94.0239
16.139582,-94.077927
16.145582,-94.085346
16.175282,-94.111955
16.205209,-94.214936
16.219327,-94.268355
16.263191,-94.346955
16.2875,-94.364382
16.295554,-94.400291
16.284027,-94.419727
16.240554,-94.438609
16.215136,-94.433064
16.200554,-94.416118
16.176391,-94.378064
16.15,-94.325282
16.1433,-94.272991
16.175482,-94.332646
16.173,-94.298291
16.159745,-94.233155
16.119373,-94.170536
16.106109,-94.129455
16.099818,-94.092346
16.090691,-94.0723
16.074445,-94.055555
16.047636,-94.052646
16.0415,-94.065046
16.045,-94.089173
16.103882,-94.235
16.162773,-94.374727
16.170273,-94.395573
16.181391,-94.441118
16.188327,-94.477509
16.194718,-94.6039
16.190691,-94.691255
16.207773,-94.723746
16.2275,-94.691955
16.236109,-94.655291
16.246109,-94.631955
16.258054,-94.615846
16.288609,-94.586118
16.315209,-94.578827
16.34,-94.602782
16.359645,-94.664318
16.3375,-94.680009
16.306109,-94.720836
16.260064,-94.791536
16.289091,-94.806736
16.308054,-94.784591
16.329582,-94.772091
16.393609,-94.805146
16.419718,-94.836255
16.427082,-94.859173
16.409718,-94.910564
16.322218,-95.030836
16.272118,-95.062673
16.259445,-95.039464
16.231109,-94.905291
16.215827,-94.857791
16.213891,-94.927091
16.183327,-95.100009
16.152773,-95.213336
16.133054,-95.251109
16.045973,-95.365491
16.008054,-95.371946
15.989927,-95.395491
15.978054,-95.420291
15.961945,-95.482791
15.956527,-95.521955
15.938609,-95.589446
15.932782,-95.61
15.901664,-95.7164
15.8925,-95.746673
15.815136,-95.951264
15.753609,-96.062791
15.693473,-96.177782
15.685554,-96.214446
15.677218,-96.2639
15.674445,-96.286391
15.676945,-96.372791
15.685627,-96.436955
15.643609,-96.476118
15.656391,-96.557782
15.727709,-96.839309
15.853054,-97.070282
15.877773,-97.103055
15.896809,-97.135282
15.913327,-97.196673
15.918336,-97.2314
15.945273,-97.520573
15.959027,-97.644864
15.950345,-97.672646
15.960282,-97.754727
15.972082,-97.792782
15.985,-97.812791
16.008054,-97.839446
16.0275,-97.860564
16.0825,-97.930009
16.186109,-98.090009
16.208882,-98.125564
16.222773,-98.215291
16.263745,-98.408336
16.275554,-98.4464
16.310691,-98.544027
16.319345,-98.554691
16.339445,-98.562646
16.360973,-98.578755
16.374718,-98.593609
16.388054,-98.616391
16.419027,-98.657373
16.476391,-98.704182
16.518745,-98.729236
16.540554,-98.753482
16.553054,-98.782227
16.596945,-99.036955
16.628891,-99.233064
16.672218,-99.440564
16.681664,-99.537227
16.684445,-99.558064
16.706945,-99.685982
16.729027,-99.738618
16.795036,-99.850418
16.818054,-99.841127
16.855,-99.857373
16.867918,-99.872927
16.900836,-99.979446
16.98,-100.228055
17.005554,-100.284446
17.020554,-100.321955
17.067218,-100.449718
17.088336,-100.511673
17.144445,-100.678618
17.181945,-100.7971
17.208609,-100.888636
17.2175,-100.91
17.265273,-101.011127
17.295554,-101.049446
17.319791,-101.066264
17.341664,-101.0864
17.358891,-101.104446
17.379164,-101.135836
17.459718,-101.2664
17.489718,-101.3414
17.540836,-101.445009
17.628327,-101.577791
17.678054,-101.638818
17.710418,-101.653327
17.736109,-101.672236
17.879718,-101.792091
17.900554,-101.818618
17.948327,-101.898355
17.961936,-101.9214
17.978473,-101.952791
17.988609,-102.0007
17.990418,-102.0382
17.982218,-102.067364
17.961664,-102.0957
17.935554,-102.119455
17.919445,-102.145009
17.918327,-102.170291
17.920827,-102.181
17.944582,-102.229591
17.963336,-102.290555
18.011391,-102.455836
18.044582,-102.574446
18.047918,-102.607927
18.048336,-102.637509
18.050827,-102.6814
18.059164,-102.720291
18.067773,-102.750418
18.095273,-102.824309
18.130836,-102.9039
18.147773,-102.934455
18.160273,-102.954727
18.192636,-103.038336
18.196945,-103.0614
18.200064,-103.102927
18.272782,-103.357509
18.313609,-103.450009
18.3293,-103.478336
18.349445,-103.496673
18.380273,-103.509173
18.403327,-103.519446
18.438327,-103.538891
18.477773,-103.560836
18.497218,-103.575846
18.650554,-103.705564
18.673336,-103.725009
18.688073,-103.745482
18.693745,-103.755146
18.708609,-103.7764
18.766391,-103.839736
18.855273,-103.943618
18.877218,-103.971946
18.896382,-104.004464
18.905282,-104.025282
18.913609,-104.047236
18.944164,-104.136946
18.966664,-104.205291
19.0109,-104.317573
19.039373,-104.3298
19.0766,-104.3164
19.095273,-104.327791
19.108745,-104.371118
19.127218,-104.513064
19.147945,-104.592418
19.177354,-104.6759
19.251664,-104.805846
19.285136,-104.899036
19.315273,-104.951682
19.339445,-104.983609
