USA,
Lat,Lon
35.9461,-76.529727
35.964991,-76.470273
35.978736,-76.420136
35.975273,-76.392773
35.957627,-76.379855
35.919154,-76.279173
35.918882,-76.2675
35.954054,-76.301736
35.995964,-76.174718
35.993191,-76.077509
35.982209,-76.051109
35.962218,-76.026527
35.922773,-76.021809
35.873745,-76.053046
35.846936,-76.060273
35.793609,-76.053055
35.749164,-76.041673
35.684364,-76.044755
35.691309,-76.109582
35.692391,-76.135627
35.660409,-76.1032
35.654091,-76.028746
35.710273,-75.993882
35.7911,-75.988536
35.813327,-75.995546
35.880545,-75.989436
35.897773,-75.9707
35.917773,-75.943327
35.975273,-75.850827
35.964991,-75.824727
35.919718,-75.783327
35.877909,-75.749173
35.814509,-75.720836
35.692627,-75.720836
35.618464,-75.740764
35.571382,-75.789446
35.5661,-75.816955
35.566936,-75.838336
35.584718,-75.86
35.575554,-75.893618
35.516664,-75.979582
35.4661,-76.002227
35.424164,-76.041109
35.359854,-76.133191
35.336936,-76.149173
35.372209,-76.461946
35.384718,-76.496109
35.404164,-76.522509
35.484936,-76.567109
35.508809,-76.563755
35.531936,-76.515564
35.551036,-76.5882
35.535827,-76.614864
35.522491,-76.631946
35.458882,-76.616109
35.431382,-76.601391
35.414991,-76.6525
35.461664,-76.912918
35.477282,-76.942636
35.526936,-77.049582
35.486936,-77.023055
35.392218,-76.832509
35.307909,-76.502982
35.271664,-76.468891
35.225818,-76.4875
35.233609,-76.563609
35.166936,-76.664891
35.160127,-76.573055
35.137909,-76.552918
35.114854,-76.565555
35.074164,-76.604018
35.043327,-76.654173
35.001518,-76.727082
34.987773,-76.7614
34.985591,-76.805309
34.992545,-76.836064
35,-76.867218
35.068054,-76.976391
35.149782,-77.068164
34.997773,-76.965009
34.969573,-76.9318
34.953882,-76.89
34.943518,-76.840691
34.939436,-76.816355
34.926654,-76.778882
34.905264,-76.753064
34.918609,-76.738746
34.948873,-76.697218
34.982418,-76.633818
35.004436,-76.529173
35.009164,-76.489436
35.066764,-76.453564
35.042773,-76.432364
34.987818,-76.433955
34.962982,-76.4623
34.935236,-76.453191
34.941154,-76.415327
34.974291,-76.323546
34.996245,-76.333755
35.022209,-76.351246
35.012636,-76.312636
34.962627,-76.271809
34.936936,-76.2925
34.881936,-76.343264
34.864227,-76.383046
34.847773,-76.411391
34.776382,-76.481382
34.736173,-76.500627
34.710136,-76.626109
34.717282,-76.653609
34.757809,-76.660973
34.797491,-76.683255
34.766591,-76.759936
34.677418,-77.094236
34.693318,-77.123318
34.654709,-77.175555
34.584436,-77.273055
34.559718,-77.309582
34.575991,-77.3339
34.600991,-77.350236
34.639918,-77.330973
34.733045,-77.388473
34.741936,-77.428882
34.713054,-77.424436
34.689154,-77.409436
34.6126,-77.385718
34.562936,-77.379046
34.516454,-77.381727
34.514445,-77.421246
34.504027,-77.455273
34.436936,-77.573627
34.412218,-77.614582
34.398045,-77.636673
34.379436,-77.664446
34.365545,-77.682218
34.341936,-77.705273
34.285273,-77.757236
34.191936,-77.835009
34.150827,-77.862218
34.130818,-77.869718
34.061664,-77.882146
34.032773,-77.884173
33.937145,-77.922636
33.926936,-77.934436
33.991936,-77.9225
34.0193,-77.920691
34.117564,-77.927282
34.149018,-77.955627
34.119436,-77.950836
34.091382,-77.947773
34.064991,-77.944991
34.028745,-77.946246
33.992427,-77.952991
33.942764,-77.976109
33.889364,-78.025973
33.895,-78.069736
33.904709,-78.101391
33.914709,-78.153891
33.919854,-78.237355
33.898045,-78.437209
33.879991,-78.518064
33.881664,-78.572218
33.8793,-78.582091
33.870827,-78.600555
33.730273,-78.8275
33.707218,-78.861255
33.691936,-78.881382
33.657491,-78.917773
33.638045,-78.9375
33.591664,-78.980836
33.415682,-79.137646
33.389436,-79.148618
33.314436,-79.164173
33.278936,-79.196446
33.314164,-79.2691
33.336936,-79.263482
33.377209,-79.237291
33.430273,-79.199682
33.413318,-79.226109
33.373318,-79.271391
33.329436,-79.289582
33.305136,-79.295691
33.284164,-79.294582
33.266391,-79.2825
33.244045,-79.255609
33.232554,-79.224782
33.185545,-79.204727
33.165545,-79.205836
33.141109,-79.233064
33.099209,-79.297073
33.079754,-79.344355
33.058945,-79.371718
33.008191,-79.388336
33.004718,-79.445264
33.009164,-79.494436
33.0334,-79.523191
33.015545,-79.571391
32.986518,-79.6025
32.9393,-79.627909
32.9175,-79.612218
32.804154,-79.732636
32.775273,-79.794727
32.767209,-79.815827
32.770718,-79.857336
32.790882,-79.883973
32.818191,-79.893673
32.838809,-79.8784
32.852009,-79.895418
32.853464,-79.942636
32.787909,-79.969173
32.763327,-79.950136
32.745145,-79.910191
32.727727,-79.882391
32.694854,-79.877982
32.673882,-79.900282
32.662491,-79.917218
32.618327,-79.987782
32.6061,-80.046955
32.540836,-80.222782
32.480409,-80.327718
32.471654,-80.409164
32.498364,-80.4319
32.515,-80.536946
32.520273,-80.611391
32.522909,-80.6693
32.500164,-80.680009
32.485754,-80.555
32.491173,-80.530555
32.475127,-80.482091
32.398045,-80.429509
32.351936,-80.442491
32.317491,-80.465
32.286109,-80.533327
32.268054,-80.574446
